,name,lookup_value
15431,ACL,Apple cider vinegar
15432,ACLA,Apple cider vinegar
15433,ACN,Apple cider vinegar
15434,ACNU,Apple cider vinegar
15435,ACO,Apple cider vinegar
15436,ACON,Apple cider vinegar
15437,ACS,Apple cider vinegar
15438,ACT,Apple cider vinegar
15439,ACTO,Apple cider vinegar
15440,ACTZ,Apple cider vinegar
15441,ACV         (ACICLOVIR),Apple cider vinegar
15442,ACV (ACICLOVIR),Apple cider vinegar
15443,ACY,Apple cider vinegar
15444,ACZO,Apple cider vinegar
15445,AD,Apple cider vinegar
15446,AD1,Apple cider vinegar
15447,AD3,Apple cider vinegar
15448,ADA,Apple cider vinegar
15449,ADB,Apple cider vinegar
15450,ADCO,Apple cider vinegar
15451,ADE,Apple cider vinegar
15452,ADH,Apple cider vinegar
15453,ADK,Apple cider vinegar
15454,ADO,Apple cider vinegar
15455,ADP,Apple cider vinegar
15456,ADR,Apple cider vinegar
15457,ADV,Apple cider vinegar
15458,ADVA,Apple cider vinegar
15459,ADVI,Apple cider vinegar
15460,ADX,Apple cider vinegar
15461,AECA,Apple cider vinegar
15462,AED,Apple cider vinegar
15463,AER,Apple cider vinegar
15464,AET,Apple cider vinegar
15465,AF,Apple cider vinegar
15466,AFA,Apple cider vinegar
15467,AFO,Apple cider vinegar
15468,AH3,Apple cider vinegar
15469,AHA,Apple cider vinegar
15470,AHCC,Apple cider vinegar
15471,AHCL,Apple cider vinegar
15472,AHF,Apple cider vinegar
15473,AHG,Apple cider vinegar
15474,AHP,Apple cider vinegar
15475,AI,Apple cider vinegar
15476,AICD,Apple cider vinegar
15477,AK,Apple cider vinegar
15478,AKA,Apple cider vinegar
15479,AKE,Apple cider vinegar
15480,AKG,Apple cider vinegar
15481,AL,Apple cider vinegar
15482,ALA,Apple cider vinegar
15483,ALB,Apple cider vinegar
15484,ALC,Apple cider vinegar
15485,ALE,Apple cider vinegar
15486,ALEV,Apple cider vinegar
15487,ALG,Apple cider vinegar
15488,ALI,Apple cider vinegar
15489,ALIV,Apple cider vinegar
15490,ALJ,Apple cider vinegar
15491,ALK,Apple cider vinegar
15492,ALL,Apple cider vinegar
15493,ALM,Apple cider vinegar
15494,ALN,Apple cider vinegar
15495,ALS,Apple cider vinegar
15496,ALT,Apple cider vinegar
15497,ALVO,Apple cider vinegar
15498,ALY,Apple cider vinegar
15499,AM,Apple cider vinegar
15500,AMD,Apple cider vinegar
15501,AMK,Apple cider vinegar
15502,AML,Apple cider vinegar
15503,AMO,Apple cider vinegar
15504,AMOX+AC CLAV ACV,Apple cider vinegar
15505,AMS,Apple cider vinegar
15506,AN,Apple cider vinegar
15507,ANA,Apple cider vinegar
15508,ANP,Apple cider vinegar
15509,AOL,Apple cider vinegar
15510,AON,Apple cider vinegar
15511,AOS,Apple cider vinegar
15512,AP,Apple cider vinegar
15513,APA,Apple cider vinegar
15514,APC,Apple cider vinegar
15515,APCC,Apple cider vinegar
15516,APD,Apple cider vinegar
15517,APO,Apple cider vinegar
15518,APP,Apple cider vinegar
15519,APR,Apple cider vinegar
15520,APVI,Apple cider vinegar
15521,AQ,Apple cider vinegar
15522,ARA,Apple cider vinegar
15523,ARB,Apple cider vinegar
15524,ARC,Apple cider vinegar
15525,ARK,Apple cider vinegar
15526,ART,Apple cider vinegar
15527,AS,Apple cider vinegar
15528,ASH,Apple cider vinegar
15529,ASI,Apple cider vinegar
15530,ASK,Apple cider vinegar
15531,ASPIRIN ^BAYER^ (ACVETYLSALICYLIC ACID),Apple cider vinegar
15532,ASS,Apple cider vinegar
15533,ASX,Apple cider vinegar
15534,ATA,Apple cider vinegar
15535,ATB,Apple cider vinegar
15536,ATCH,Apple cider vinegar
15537,ATG,Apple cider vinegar
15538,ATL,Apple cider vinegar
15539,ATS,Apple cider vinegar
15540,ATT,Apple cider vinegar
15541,ATV,Apple cider vinegar
15542,ATZ,Apple cider vinegar
15543,AUVI,Apple cider vinegar
15544,AVA,Apple cider vinegar
15545,AVE,Apple cider vinegar
15546,AVK,Apple cider vinegar
15547,AVO,Apple cider vinegar
15548,AVR,Apple cider vinegar
15549,AVUV,Apple cider vinegar
15550,AXO,Apple cider vinegar
15551,AYQ,Apple cider vinegar
15552,AYR,Apple cider vinegar
15553,AZ,Apple cider vinegar
15554,AZD,Apple cider vinegar
15555,AZI,Apple cider vinegar
15556,AZM,Apple cider vinegar
15557,AZP,Apple cider vinegar
15558,AZQ,Apple cider vinegar
15559,AZR,Apple cider vinegar
15560,B-V,Apple cider vinegar
15561,BC,Apple cider vinegar
15562,BCM,Apple cider vinegar
15563,BCO,Apple cider vinegar
15564,BCQ,Apple cider vinegar
15565,BCS,Apple cider vinegar
15566,BSV,Apple cider vinegar
15567,C,Apple cider vinegar
15568,C+,Apple cider vinegar
15569,C2,Apple cider vinegar
15570,CA,Apple cider vinegar
15571,CAC,Apple cider vinegar
15572,CACL,Apple cider vinegar
15573,CACO,Apple cider vinegar
15574,CAV,Apple cider vinegar
15575,CB,Apple cider vinegar
15576,CBV,Apple cider vinegar
15577,CCB,Apple cider vinegar
15578,CCL,Apple cider vinegar
15579,CCM,Apple cider vinegar
15580,CCP,Apple cider vinegar
15581,CD,Apple cider vinegar
15582,CF,Apple cider vinegar
15583,CH,Apple cider vinegar
15584,CK,Apple cider vinegar
15585,CO,Apple cider vinegar
15586,CP,Apple cider vinegar
15587,CT,Apple cider vinegar
15588,CVD,Apple cider vinegar
15589,CVG,Apple cider vinegar
15590,CVL,Apple cider vinegar
15591,CVP,Apple cider vinegar
15592,CVS,Apple cider vinegar
15593,CY,Apple cider vinegar
15594,CZ,Apple cider vinegar
15595,DAC,Apple cider vinegar
15596,DAV,Apple cider vinegar
15597,DC,Apple cider vinegar
15598,DC3,Apple cider vinegar
15599,DCN,Apple cider vinegar
15600,DMV,Apple cider vinegar
15601,DRV,Apple cider vinegar
15602,EACA,Apple cider vinegar
15603,EBV,Apple cider vinegar
15604,EC,Apple cider vinegar
15605,ECA,Apple cider vinegar
15606,ECF,Apple cider vinegar
15607,ECO,Apple cider vinegar
15608,ECP,Apple cider vinegar
15609,ECT,Apple cider vinegar
15610,EFV,Apple cider vinegar
15611,FAC,Apple cider vinegar
15612,FACE,Apple cider vinegar
15613,FC,Apple cider vinegar
15614,FCR,Apple cider vinegar
15615,FCZ,Apple cider vinegar
15616,FOSACVAIR,Apple cider vinegar
15617,FV,Apple cider vinegar
15618,GC,Apple cider vinegar
15619,GCV,Apple cider vinegar
15620,GRACVIT,Apple cider vinegar
15621,HAIV,Apple cider vinegar
15622,HBV,Apple cider vinegar
15623,HC,Apple cider vinegar
15624,HCD,Apple cider vinegar
15625,HCF,Apple cider vinegar
15626,HCG,Apple cider vinegar
15627,HCH,Apple cider vinegar
15628,HCI,Apple cider vinegar
15629,HCL,Apple cider vinegar
15630,HCN,Apple cider vinegar
15631,HCO,Apple cider vinegar
15632,HCP,Apple cider vinegar
15633,HCTV,Apple cider vinegar
15634,HCV,Apple cider vinegar
15635,HCZ,Apple cider vinegar
15636,HIV,Apple cider vinegar
15637,ICD,Apple cider vinegar
15638,ICS,Apple cider vinegar
15639,ICY,Apple cider vinegar
15640,IDV,Apple cider vinegar
15641,IPV,Apple cider vinegar
15642,IV,Apple cider vinegar
15643,KC,Apple cider vinegar
15644,KC1,Apple cider vinegar
15645,KCB,Apple cider vinegar
15646,KCC,Apple cider vinegar
15647,KCI,Apple cider vinegar
15648,LAC,Apple cider vinegar
15649,LACB,Apple cider vinegar
15650,LACVOLAC,Apple cider vinegar
15651,LCC,Apple cider vinegar
15652,LCD,Apple cider vinegar
15653,LCF,Apple cider vinegar
15654,LCV,Apple cider vinegar
15655,LEV,Apple cider vinegar
15656,LIV,Apple cider vinegar
15657,LOV,Apple cider vinegar
15658,LPV,Apple cider vinegar
15659,M-V,Apple cider vinegar
15660,M/V,Apple cider vinegar
15661,MAC,Apple cider vinegar
15662,MACA,Apple cider vinegar
15663,MACI,Apple cider vinegar
15664,MACVU MAV,Apple cider vinegar
15665,MCG,Apple cider vinegar
15666,MCI,Apple cider vinegar
15667,MCR,Apple cider vinegar
15668,MCT,Apple cider vinegar
15669,MCV4,Apple cider vinegar
15670,MDV,Apple cider vinegar
15671,MIV,Apple cider vinegar
15672,MOV,Apple cider vinegar
15673,MTV,Apple cider vinegar
15674,MV,Apple cider vinegar
15675,NAC1,Apple cider vinegar
15676,NACA,Apple cider vinegar
15677,NACK,Apple cider vinegar
15678,NACL,Apple cider vinegar
15679,NC,Apple cider vinegar
15680,NCA,Apple cider vinegar
15681,NCH,Apple cider vinegar
15682,NCL,Apple cider vinegar
15683,NCR,Apple cider vinegar
15684,NIV,Apple cider vinegar
15685,OAC,Apple cider vinegar
15686,OC,Apple cider vinegar
15687,OCC,Apple cider vinegar
15688,OCO,Apple cider vinegar
15689,OCP,Apple cider vinegar
15690,OCS,Apple cider vinegar
15691,OPV,Apple cider vinegar
15692,PAC,Apple cider vinegar
15693,PACO,Apple cider vinegar
15694,PC,Apple cider vinegar
15695,PCA,Apple cider vinegar
15696,PCL,Apple cider vinegar
15697,PCP,Apple cider vinegar
15698,PCR,Apple cider vinegar
15699,PCT,Apple cider vinegar
15700,PIV,Apple cider vinegar
15701,PLACVENILI,Apple cider vinegar
15702,PNV,Apple cider vinegar
15703,PPV,Apple cider vinegar
15704,PRACVACHOL,Apple cider vinegar
15705,"PRENATAL VITAMINS (ASCORBIC ACID, BIOTIN, MINERALS NOS, NICOTINIC ACVID, RETINOL, TOCOPHEROL, VITAMIN B NOS, VITAMIN D NOS)",Apple cider vinegar
15706,Q.V,Apple cider vinegar
15707,QV,Apple cider vinegar
15708,RCC,Apple cider vinegar
15709,RCI,Apple cider vinegar
15710,ROPIVACVAINE,Apple cider vinegar
15711,RPV,Apple cider vinegar
15712,RTV,Apple cider vinegar
15713,SC,Apple cider vinegar
15714,SCC,Apple cider vinegar
15715,SCH,Apple cider vinegar
15716,SCT,Apple cider vinegar
15717,SDV,Apple cider vinegar
15718,SQV,Apple cider vinegar
15719,TACO,Apple cider vinegar
15720,TACVO,Apple cider vinegar
15721,TAMSULOSINA ACV,Apple cider vinegar
15722,TCA,Apple cider vinegar
15723,TCC,Apple cider vinegar
15724,TCH,Apple cider vinegar
15725,TCM,Apple cider vinegar
15726,TCN,Apple cider vinegar
15727,TCP,Apple cider vinegar
15728,TCZ,Apple cider vinegar
15729,TNV,Apple cider vinegar
15730,TPV,Apple cider vinegar
15731,UAC,Apple cider vinegar
15732,UC2,Apple cider vinegar
15733,UV,Apple cider vinegar
15734,V,Apple cider vinegar
15735,VALACVCLOVIR 500,Apple cider vinegar
15736,VALACVCLOVIR HCL,Apple cider vinegar
15737,VCD,Apple cider vinegar
15738,WC,Apple cider vinegar
15739,XCL,Apple cider vinegar
15740,ZC,Apple cider vinegar
15741,ZDV,Apple cider vinegar
15742,AMINO ACID PED,Apple cider vinegar
15743,AMINO ACIDS COMPLEX,Apple cider vinegar
15744,AMINO ACIDS NOS W,Apple cider vinegar
15745,AMIO ACIDS COMPLEX,Apple cider vinegar
15746,AMINO ACID SUPPLEMENT,Apple cider vinegar
15747,1/4 TEASPOON TURMERIC TABLESPOONS OF APPLE SAUCE,Apple cider vinegar
15748,A-PLEX,Apple cider vinegar
15749,ABALE,Apple cider vinegar
15750,ALLE,Apple cider vinegar
15751,ALOE VERA AND APPLE AND BILLBERRY AND BLUEBERRY AND CRANBERRY AND GENT,Apple cider vinegar
15752,AMPHE,Apple cider vinegar
15753,AMPLEX,Apple cider vinegar
15754,ANPLEG,Apple cider vinegar
15755,APELEX,Apple cider vinegar
15756,APOLET,Apple cider vinegar
15757,APPLE ACID,Apple cider vinegar
15758,APPLE AND GINGER TEA,Apple cider vinegar
15759,APPLE BASE,Apple cider vinegar
15760,APPLE DRIED,Apple cider vinegar
15761,APPLE FIBRE,Apple cider vinegar
15762,APPLE PECTIN (MALUS DOMESTICA) (MALUS DOMESTICA),Apple cider vinegar
15763,APPLE SEEDS,Apple cider vinegar
15764,APPLE SMOOTHIE BARIUM SULFATE 2.1%W.V 2.0%W.V -450ML- EZEM INC.,Apple cider vinegar
15765,APPLE TREE MISTLETOE,Apple cider vinegar
15766,"APPLE,,",Apple cider vinegar
15767,APPLES,Apple cider vinegar
15768,APPLES/APPLE CIDER,Apple cider vinegar
15769,APRE,Apple cider vinegar
15770,ASOLE,Apple cider vinegar
15771,AVENA SATIVA/PLANTAGO OVATA/APPLE FIBRE/ACACIA SPP./GLYCINE MAX,Apple cider vinegar
15772,BROMELAIN PINEAPPLE ENZYME,Apple cider vinegar
15773,BROMELAIN PINEAPPLE EXTRACT,Apple cider vinegar
15774,CALCIUM POLYSTYRENE SULFONATE-APPLE FLAVOR,Apple cider vinegar
15775,CHILDRENS TYLENOL COLD AND COUGH NIGHTTIME APPLE,Apple cider vinegar
15776,CHOLESTEROL CHASER (GRAPE JUICE/APPLE JUICE/VINEGAR),Apple cider vinegar
15777,DAWN HANDDISH BASE LIQUSUPCMPT ANTIBAC APPLE BLOSSOM(TRICLOSAN 0.11%),Apple cider vinegar
15778,DORICO CHA (APPLE/CINNAMON),Apple cider vinegar
15779,EPSOM SALT BATH WITH APPLE CIDER VINEGAR AND TEA TREE ESSENTIAL AND LEMON ESSENTIAL,Apple cider vinegar
15780,GAMMA PINEAPPLE ENZYME,Apple cider vinegar
15781,J+J BABY WASH HONEY APPLE 15OZ,Apple cider vinegar
15782,JOHNSON'S HONEY APPLE,Apple cider vinegar
15783,JOHNSONS HONEY APPLE BABY,Apple cider vinegar
15784,JOHNSONS SKIN NOURISH SWEET APPLE WASH,Apple cider vinegar
15785,JUICE/FIBRE LIQ APPLE,Apple cider vinegar
15786,LYPLE,Apple cider vinegar
15787,MAPLE,Apple cider vinegar
15788,"METAMUCIL, APPLE OR CHERRY CRISP FLAVOR(PSYLLIUM HYDROPHILIC MUCILLOID",Apple cider vinegar
15789,MUCOFALK APPLE,Apple cider vinegar
15790,PAPAYA PINEAPPLE ENZYMES,Apple cider vinegar
15791,PINEAPPLE (ANANAS COMOSUS),Apple cider vinegar
15792,PINEAPPLE + PAPAYA ENZYME,Apple cider vinegar
15793,PINEAPPLE BROMELAIN,Apple cider vinegar
15794,PINEAPPLE ENZYME,Apple cider vinegar
15795,PINEAPPLE ENZYMES,Apple cider vinegar
15796,PINEAPPLE EXTRACTS,Apple cider vinegar
15797,PINEAPPLE PROMENADE,Apple cider vinegar
15798,PINEAPPLE SUPPLEMENT,Apple cider vinegar
15799,PINEAPPLE.,Apple cider vinegar
15800,PPE,Apple cider vinegar
15801,PPL,Apple cider vinegar
15802,PRUNE AND APPLE JUICE,Apple cider vinegar
15803,PURITANS PRIDE NATURAL PINEAPPLE ENZYME BROMELAIN,Apple cider vinegar
15804,RAPILE,Apple cider vinegar
15805,READICAT APPLE SMOOTHIE  2.1% W/V 2.0% W/W EZEM INC,Apple cider vinegar
15806,SUPPLE,Apple cider vinegar
15807,THERAFLU FLU + SORE THROAT APPLE CINNAMON NOVARTIS LOT # 10057499 EXP,Apple cider vinegar
15808,APPLE CIDER,Apple cider vinegar
15809,APPLE CIDER,Apple cider vinegar
15810,APPLE CIDER PECTIN,Apple cider vinegar
15811,APPLE CIDER,Apple cider vinegar
15812,FIRE CIDER,Apple cider vinegar
15813,JUICE FIBRE,Apple cider vinegar
15814,PURE FIRE,Apple cider vinegar
15815,FRUIT JUICE,Apple cider vinegar
15816,GRAPEFRUIT /JUICE,Apple cider vinegar
15817,NONI FRUIT JUICE,Apple cider vinegar
15818,PRUNE FRUIT JUICE,Apple cider vinegar
15819,ACAI JUICE,Apple cider vinegar
15820,ALOE JUICE,Apple cider vinegar
15821,APOLLO JUICE,Apple cider vinegar
15822,GRAPE JUICE,Apple cider vinegar
15823,NONIE JUICE,Apple cider vinegar
15824,ALECLEAR,Apple cider vinegar
15825,ALLECLEAR,Apple cider vinegar
15826,NETTLE LEAF,Apple cider vinegar
15827,LEAF,Apple cider vinegar
15828,PAPAYA LEAF,Apple cider vinegar
15829,PRELEAF,Apple cider vinegar
15830,APPREDEEM,Apple cider vinegar
15831,PINE POLLEN,Apple cider vinegar
15832,TREE POLLEN,Apple cider vinegar
15833,ARTIC ROOT,Apple cider vinegar
15834,NETTLE ROOT,Apple cider vinegar
15835,FALX SEED,Apple cider vinegar
15836,FLEX SEED,Apple cider vinegar
15837,HELP SEED,Apple cider vinegar
15838,BLACK SEED,Apple cider vinegar
15839,BORAGE SEED,Apple cider vinegar
15840,CUMIN SEED,Apple cider vinegar
15841,FAX SEED,Apple cider vinegar
15842,FLACK SEED,Apple cider vinegar
15843,FLAK SEED,Apple cider vinegar
15844,FLAZSEED,Apple cider vinegar
15845,FLEX SEED,Apple cider vinegar
15846,FLEXSEED,Apple cider vinegar
15847,ALPHA STIM,Apple cider vinegar
15848,WHOLE BOOD,Apple cider vinegar
15849,AMPULES,Apple cider vinegar
15850,APAP ES,Apple cider vinegar
15851,APOLETS,Apple cider vinegar
15852,ARLES,Apple cider vinegar
15853,AZOLES,Apple cider vinegar
15854,LIPLES,Apple cider vinegar
15855,PROTEOLIN,Apple cider vinegar
15856,PROTEOLOS,Apple cider vinegar
15857,PROTERNOL,Apple cider vinegar
15858,PROTEROL-L,Apple cider vinegar
15859,PROTOLAN,Apple cider vinegar
15860,PROTORAL,Apple cider vinegar
15861,PEUMUS BOLDUS LEAF,Apple cider vinegar
15862,RUBUS IDAEUS LEAF,Apple cider vinegar
15863,BLACK CHEER,Black cumin
15864,BLACK CHSH,Black cumin
15865,BLACK CURRENT,Black cumin
15866,BLACK CURRANT SEED,Black cumin
15867,BLACK SEED,Black cumin
15868,BLACK CURD,Black cumin
15869,BLACK CURRANT SEED,Black cumin
15870,BLACK CURRANTSEED,Black cumin
15871,BLACK CURRENT,Black cumin
15872,BLACK CURRENT SEED,Black cumin
15873,BLACK SEED,Black cumin
15874,BLACKSEED,Black cumin
15875,FLACK SEED,Black cumin
15876,KIRLL,Black cumin
15877,KRELL,Black cumin
15878,HLORELLA SEED,Black cumin
15879,CVS FLAXSEED,Black cumin
15880,EQL FLAXSEED,Black cumin
15881,FLAK SEED,Black cumin
15882,FLAZSEED,Black cumin
15883,FLEX SEED,Black cumin
15884,GRAPSEED,Black cumin
15885,PAMWLA SEED,Black cumin
15886,"BOSWELLIA SERRATA GUM/ALLANTOIN/2-BROMO-2-NITROPROPANE-1,3-DIOL/ALOE BARBADENSIS LEAF JUICE/AQUA/CIT",Boswellia
15887,CALLUNA VULGARIS,Chlorella
15888,PRUNELLA VULGARIS,Chlorella
15889,BETA VULGARIS WHOLE.,Chlorella
15890,BEARBERRY EXTRACT,Cranberry
15891,BILLBERRY FRUIT,Cranberry
15892,ACSI BERRIES,Cranberry
15893,BERRIES,Cranberry
15894,BLUEBERRIES,Cranberry
15895,CHERRIES,Cranberry
15896,CRANBARRIER,Cranberry
15897,CRANBEROLA,Cranberry
15898,RASBERRY,Cranberry
15899,BERRY JUICE,Cranberry
15900,BLUEBERRY JUICE,Cranberry
15901,CANARY SEED,Cranberry
15902,AMOL,Evening primrose oil
15903,BERAMOL,Evening primrose oil
15904,CEFABOL,Evening primrose oil
15905,CEFADOL,Evening primrose oil
15906,CEFAMOX,Evening primrose oil
15907,CEFAZOL,Evening primrose oil
15908,CETAMOL,Evening primrose oil
15909,DEFLAMOL,Evening primrose oil
15910,ECZMOL,Evening primrose oil
15911,EFISOL,Evening primrose oil
15912,EHANOL,Evening primrose oil
15913,ELAVOL,Evening primrose oil
15914,EMOL,Evening primrose oil
15915,ENAMEL,Evening primrose oil
15916,ENEMOL,Evening primrose oil
15917,ENFAMIL,Evening primrose oil
15918,ETANOL,Evening primrose oil
15919,EVAZOL,Evening primrose oil
15920,EZOMOL,Evening primrose oil
15921,FAMO,Evening primrose oil
15922,FAMOT,Evening primrose oil
15923,FAMOX,Evening primrose oil
15924,FAZOL,Evening primrose oil
15925,KAMOL,Evening primrose oil
15926,METAMOL,Evening primrose oil
15927,PRAMOL,Evening primrose oil
15928,SEDAMOL,Evening primrose oil
15929,SETAMOL,Evening primrose oil
15930,TIAMOL,Evening primrose oil
15931,TRAMOL,Evening primrose oil
15932,UNAMOL,Evening primrose oil
15933,ANNONA MURICATA,Evening primrose oil
15934,ANOTHER,Evening primrose oil
15935,MENTHA,Evening primrose oil
15936,ONTHER,Evening primrose oil
15937,BETA VULGARIS WHOLE.,Evening primrose oil
15938,CALCIUM LACTICUM,Garlic
15939,CALCIUM SODIUM,Garlic
15940,ASSAN,Garlic
15941,DAISAN,Garlic
15942,DALSAN,Garlic
15943,DAOLAN,Garlic
15944,DARVAN,Garlic
15945,DASEN,Garlic
15946,DASPAN,Garlic
15947,DASTEN,Garlic
15948,DAXAN,Garlic
15949,DIASPAN,Garlic
15950,DIOUAN,Garlic
15951,GASLAN,Garlic
15952,LASTAN,Garlic
15953,MASPAN,Garlic
15954,NASPAN,Garlic
15955,VASTAN,Garlic
15956,ARLUIC,Garlic
15957,ARTIC,Garlic
15958,CARLIN,Garlic
15959,CARLIT,Garlic
15960,CARLIX,Garlic
15961,CARTIC,Garlic
15962,DALIC,Garlic
15963,EARLIA,Garlic
15964,EARLIR,Garlic
15965,FARSIC,Garlic
15966,GALAC,Garlic
15967,GALICA,Garlic
15968,GALIS,Garlic
15969,GARDIN,Garlic
15970,GARLIS,Garlic
15971,GARLISE,Garlic
15972,GASRIC,Garlic
15973,GERLAC,Garlic
15974,GLIC,Garlic
15975,LARVIC,Garlic
15976,MALIC,Garlic
15977,PARLIN,Garlic
15978,PARNIC,Garlic
15979,SALIC,Garlic
15980,SARLIX,Garlic
15981,TAMLIC,Garlic
15982,TARFIC,Garlic
15983,ALICOL,Garlic
15984,ARTIC OILS,Garlic
15985,BAROG,Garlic
15986,CARBICOL,Garlic
15987,CARCICOL,Garlic
15988,CARDICOL,Garlic
15989,FALX,Garlic
15990,GARBIDOL,Garlic
15991,GALIC ETC,Garlic
15992,ARTIC ROOT,Garlic
15993,ORRIS ROOT,Garlic
15994,YARROW ROOT,Garlic
15995,CITRUS AURANTIUM FRUIT RIND,Grapefruit
15996,CITRUS UNSHIU PEEL,Grapefruit
15997,GRACEVIT,Grapefruit
15998,GRAPE JUICE,Grapefruit
15999,GRAPERIDE,Grapefruit
16000,NARNEGIN (NARINGIN?) / BIOFLAVONOID DERIVED FROM GRAPEFRUIT,Grapefruit
16001,NEUTROGENA BODY WASH WITH SALICYLIC ACID AND GRAPEFRUIT,Grapefruit
16002,NEUTROGENA GRAPEFRUIT SCRUB,Grapefruit
16003,NEUTROGENA OFAW PINK GRAPEFRUIT SCRUB,Grapefruit
16004,OIL-FREE ACNE WASH PINK GRAPEFRUIT FOAMING SCRUB (DERMATOLOGICALS),Grapefruit
16005,SPF 30 FRESH GRAPEFRUIT SUNSCREEN LIP BALM,Grapefruit
16006,SUN BUM SUNSCREEN LIP BALM BROAD SPECTRUM SPF 30 PINK GRAPEFRUIT,Grapefruit
16007,TEA TREE GRAPEFRUIT WASH,Grapefruit
16008,TRADER JOES HAND SANITIZER GRAPEFRUIT LEMON,Grapefruit
16009,DDR PRIME ESSENTIAL,Grapefruit
16010,DOTERRA ESSENTIAL,Grapefruit
16011,FRUIT JUICE,Grapefruit
16012,NONI FRUIT JUICE,Grapefruit
16013,PRUNE FRUIT JUICE,Grapefruit
16014,GRAPSEED,Grapefruit
16015,RAPESEED,Grapefruit
16016,DMAE AMINO ACID,Red yeast rice
16017,FREE AMINO ACID,Red yeast rice
16018,IRON WITH AMINO ACIDS,Red yeast rice
16019,L-LYSINE AMINO ACID,Red yeast rice
16020,L?LYSINE AMINO ACID,Red yeast rice
16021,MYERS + AMINO ACIDS,Red yeast rice
16022,NAC AMINO ACID,Red yeast rice
16023,TAURINE (AMINO ACID),Red yeast rice
16024,TAURINE AMINO ACID,Red yeast rice
16025,AMINO ACID 14S,Red yeast rice
16026,AMINO ACID DRIP,Red yeast rice
16027,AMINO ACID INJ,Red yeast rice
16028,AMINO ACID MIX,Red yeast rice
16029,AMINO ACID PED,Red yeast rice
16030,AMINO ACID PREPS,Red yeast rice
16031,AMINO ACID TA,Red yeast rice
16032,AMINO ACIDS NOS W,Red yeast rice
16033,BROEN C,Red yeast rice
16034,BRONICA,Red yeast rice
16035,BRONILIDE,Red yeast rice
16036,BROWN MIXT,Red yeast rice
16037,BROWN,Red yeast rice
16038,RED RICE,Red yeast rice
16039,BALYA,Red yeast rice
16040,DAGLA,Red yeast rice
16041,DAIVA,Red yeast rice
16042,DANKA,Red yeast rice
16043,DANOA,Red yeast rice
16044,DAO,Red yeast rice
16045,DAOLAN,Red yeast rice
16046,DAPA,Red yeast rice
16047,DAPTA,Red yeast rice
16048,DARA,Red yeast rice
16049,DATA,Red yeast rice
16050,DAVA,Red yeast rice
16051,DAVIA,Red yeast rice
16052,DIOVA,Red yeast rice
16053,DOCA,Red yeast rice
16054,DODA,Red yeast rice
16055,DONA,Red yeast rice
16056,DOPA,Red yeast rice
16057,DOXA,Red yeast rice
16058,DUOVA,Red yeast rice
16059,KATYA,Red yeast rice
16060,LAMYA,Red yeast rice
16061,LAXOYA,Red yeast rice
16062,SOYA,Red yeast rice
16063,YA,Red yeast rice
16064,GU,Red yeast rice
16065,GU YU,Red yeast rice
16066,GUGUA,Red yeast rice
16067,LUO YA,Red yeast rice
16068,HYDROCYAPAP,Red yeast rice
16069,HYDROXY/APAP,Red yeast rice
16070,HYDROXYZ-PAM,Red yeast rice
16071,HYDROXYZA HCL,Red yeast rice
16072,HYDROXYZPAM,Red yeast rice
16073,HYDROXYZPAN,Red yeast rice
16074,TRISTART DHA,Red yeast rice
16075,RED VINE LEAF,Red yeast rice
16076,BORAGE SEED,Red yeast rice
16077,3M ESPE CONTROL RX 1.1% NAF DENTIFRICE,Red yeast rice
16078,AARICEPT,Red yeast rice
16079,ACE,Red yeast rice
16080,ACRICEPT,Red yeast rice
16081,ADRECOR W/ LICORICE,Red yeast rice
16082,AERICEPT,Red yeast rice
16083,AICD,Red yeast rice
16084,AIRICEPT - PFIZER 10MG.,Red yeast rice
16085,ALCOHOL (400 OF CHINESE RICE WINE),Red yeast rice
16086,ALICE,Red yeast rice
16087,ALOE VERA (ALOE VERA) (+) CHAMOMILE (+) HIGH MALLOW (+) LICORICE (+),Red yeast rice
16088,"ANIMAL ALLERGENS, HAMSTER EPITHELIA, MESOCRICETUS AURATUS",Red yeast rice
16089,ANTI-HYPERURICEMIA MEDICATION,Red yeast rice
16090,ARICENT,Red yeast rice
16091,ARICEP,Red yeast rice
16092,ARICEP FLAS,Red yeast rice
16093,ARICEPT                                 /JPN/,Red yeast rice
16094,ARICEPT          (CONEPEZIL HYDROCHLORIDE),Red yeast rice
16095,ARICEPT   /01318902/ (DONEPEXIL HYDROCHLORIDE),Red yeast rice
16096,ARICEPT   /JPN/,Red yeast rice
16097,ARICEPT (BONEPEZIL HYDROCHLORIDE),Red yeast rice
16098,ARICEPT (CONEPEZIL HYDROCHLORIDE),Red yeast rice
16099,ARICEPT (CONEZEPIL HYDROCHLORIDE),Red yeast rice
16100,ARICEPT (DENEPEZIL HYDROCHLORIDE),Red yeast rice
16101,"ARICEPT (DEONEPEZIL HYDROCHLORIDE) (5 MILLIGRAM, TABLETS) (DONEPEZIL H",Red yeast rice
16102,ARICEPT (DOMEPEZIL HYDROCHLORIDE),Red yeast rice
16103,ARICEPT (DONAPAZIL HYDROCHLORIDE),Red yeast rice
16104,ARICEPT (DONEFEZIL HYDROCHLORIDE),Red yeast rice
16105,ARICEPT (DONEPEIL HYDROCHLORIDE),Red yeast rice
16106,ARICEPT (DONEPENZIL HYDROCHLORIDE),Red yeast rice
